Wavelength,Counts
798.02,0.000871264
798.9,0.00093474
799.79,0.002084232
800.23,0.00691775
800.67,0.013122566
801.11,0.021424578
801.55,0.024754133
801.99,0.019357159
802.44,0.009505775
802.88,0.003604457
803.32,0.002215133
803.76,0.001732064
804.2,0.001616224
805.97,0.001349103
806.41,0.001323556
809.06,0.002738724
809.5,0.004931479
809.94,0.015828356
810.38,0.027812205
810.82,0.0389493
811.27,0.075134069
811.71,0.077254599
812.15,0.065542996
812.59,0.027105678
813.03,0.009950481
813.47,0.005615115
813.91,0.003638346
814.35,0.002691047
814.79,0.001956539
815.67,0.001292791
816.56,0.000897268
819.2,0.000592926
820.08,0.000643085
821.4,0.000690341
823.6,0.000511384
825.8,0.004958123
826.24,0.012528709
826.68,0.012697645
827.12,0.01057024
827.56,0.004136014
828,0.001664218
828.44,0.001038041
828.88,0.000765167
830.64,0.000403914
832.4,0.000356669
834.16,0.000390857
837.67,0.000862446
839.87,0.004827796
840.3,0.016076577
840.74,0.020892727
841.18,0.024695775
841.62,0.021790312
842.06,0.033867942
842.5,0.032528756
842.94,0.036050421
843.38,0.017475792
843.81,0.006607325
844.25,0.003610214
844.69,0.002364181
845.13,0.001835166
845.57,0.001367624
846.45,0.000973183
848.2,0.000683618
851.27,0.003299618
851.7,0.009625288
852.14,0.009508509
852.58,0.011379875
853.02,0.005708077
853.46,0.002127349
853.89,0.001094243
854.33,0.00070609
855.21,0.000419082
858.71,0.000177853
859.58,0.000171156
862.21,0.000330436
864.83,0.000246065
865.7,0.000519422
866.14,0.001620617
866.58,0.001829885
867.01,0.002267122
867.45,0.001674135
868.32,0.000298162
869.2,0.000133344
872.69,4.09E-05
874.43,3.17E-05
875.74,6.47E-05
876.18,6.44E-05
879.67,1.68E-05
883.15,4.90E-06
884.46,1.92E-05
886.63,6.89E-06
887.07,-1.29E-06
890.11,6.46E-06
890.55,7.84E-07
893.59,1.36E-05
897.07,4.83E-05
898.81,7.70E-05
